site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,work_type,names,ore_ctrl,hrock_type,arock_type
E. Papworth and G. Gibbon,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
E. Masters,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
W. Holloway,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Occurrence,,,,Moore Creek Area,,,
Doyle,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
J.L. Lewis,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
C. Jones,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
Camm,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
A. Clark,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
G.W. Eames and R. Scoles,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
G. Hansen and V. Kingston,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
Stubbins and Party,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
N. Tatnell,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
G. Moore and A.E. Moore,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
Grenda,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
Caldwell & Alexander,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
"Heazlewood, Brazendale, Ackroyd",-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
"Sales, White, Acre & White",-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,Pyrite,,,Main Creek Area,,Limestone,
Flegg,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
Hamlin,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
Challenger,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
Lease 9457/M,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
Price,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
Paul,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek,,,
W.S. and N. Thompson,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
F. Robinson,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
"Webb, Richards & Kelly",-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
T. Stacey,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
A. Dean,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
Thompson,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
Noye,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
M. O'Reilly,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Main Creek Area,,,
Near Kilkivan,-26.07989,152.23195,OC,Australia,Queensland,,M,Osmium,,,Unknown,Placer,N,Occurrence,,,,"Angella Creeks, Fat Hen",,,
Lunnon Shoot - Kambalda,-30.64611,121.66586,OC,Australia,Western Australia,,M,"Nickel, Copper","Platinum, Palladium, Cobalt, Gold, Ruthenium",,Unknown,,Y,Producer,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,"Silver Lake Shaft, Red Hill Gold Mine Shaft, Kambalda - St. Ives",,Basalt,
Panton Sill - Lamboo Deposits,-17.79188,127.81163,OC,Australia,Western Australia,,M,Chromium,,"Platinum, Nickel",Unknown,,N,Occurrence,"Chromite, Magnesite",,,,,,Gabbro
Wiseman Creek,-33.66294,149.73188,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Clarence River,-29.66309,152.99857,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Orange,-33.31294,149.16524,OC,Australia,New South Wales,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,,
Waratah Range,-38.32948,146.99853,OC,Australia,Victoria,,M,"Iridium, Osmium",,,Unknown,Placer,N,Occurrence,Iridosmine,,,,,,
Yarra River,-37.57947,145.99856,OC,Australia,Victoria,,M,"Iridium, Osmium",,,Unknown,Placer,N,Occurrence,,,,Yarra Yarra River,,,
Jimberlana Dyke,-32.19605,121.78251,OC,Australia,Western Australia,,M,"Nickel, Copper, Platinum",,,Unknown,,N,Occurrence,"Chalcopyrite, Pentlandite, Pyrite, Pyrrhotite",,,"Specific Sulfide Occurrences: Bronzite, Spinifex, Cowan, Dundas Hills",,"Gabbro,Norite,Peridotite,Dunite",
Georgina Lead,-32.8507,147.4625,OC,Australia,New South Wales,,M,"Gold, Platinum, Tin",,,Unknown,,Y,Past Producer,,,,,,Gravel,
Mulga Springs Prospect,-31.88262,141.47651,OC,Australia,,,M,"Platinum, Nickel, Copper",,,Unknown,,N,Occurrence,"Chalcopyrite, Hematite, Limonite, Pyrite, Pyrrhotite",,,,,Mudstone,
Dora Mine,-32.07566,141.46817,OC,Australia,,,M,"Platinum, Copper",,,Unknown,,Y,Past Producer,"Chalcopyrite, Pyrite, Pyrrhotite",,,,,Mudstone,
Black Swan,-30.49612,121.79919,OC,Australia,,,M,Nickel,Copper,"Palladium, Iridium, Gold",Unknown,,Y,Past Producer,"Chromite, Magnetite, Pentlandite, Pyrrhotite",,,,,,Dunite
Carr Boyd Rocks,-29.99613,121.6992,OC,Australia,,,M,Nickel,Copper,"Palladium, Gold, Iridium",Unknown,,Y,Past Producer,"Chromite, Magnetite, Millerite, Pyrite, Pyrrhotite",,,,,,
Spargoville 5b,-31.39608,121.59919,OC,Australia,,,M,Nickel,Copper,"Palladium, Iridium, Gold",Unknown,,Y,Past Producer,"Chromite, Magnetite, Millerite, Pentlandite, Pyrite",,,,,,Volcanic Rock (Aphanitic)
Mt. Windarra,-28.39621,122.2992,OC,Australia,,,M,Nickel,Copper,"Palladium, Gold, Iridium",Unknown,,Y,Past Producer,"Chromite, Magnetite, Millerite, Pentlandite, Pyrite",,,Windarra,,,Volcanic Rock (Aphanitic)
Kurnalpi,-30.19613,122.04919,OC,Australia,,,M,Nickel,Copper,"Palladium, Iridium, Gold",Unknown,,Y,Past Producer,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,,,Dunite
Forrestannia,-32.74602,119.79923,OC,Australia,,,M,Nickel,Copper,"Palladium, Iridium, Gold",Unknown,,Y,Past Producer,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,,,Dunite
Weebo,-28.29621,120.49924,OC,Australia,,,M,Nickel,"Copper, Chromium, Zinc","Palladium, Iridium, Gold",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,,,Dunite
Mt. Keith,-27.19626,120.59925,OC,Australia,,,M,Nickel,Copper,"Palladium, Iridium, Gold",Unknown,,Y,Past Producer,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,,,Dunite
Jubilee,-30.39612,122.09919,OC,Australia,,,M,Nickel,"Chromium, Zinc, Copper","Palladium, Iridium, Gold",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,,,Dunite
St. Ives,-31.29608,121.69919,OC,Australia,,,M,Nickel,"Chromium, Zinc, Copper","Palladium, Iridium, Gold",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,Sedimentary Association,,
Youangarra,-28.79617,118.49929,OC,Australia,,,M,Nickel,"Copper, Chromium, Zinc","Palladium, Gold, Iridium",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,Mafic Association,,
Dordie Rocks,-31.59607,121.79918,OC,Australia,,,M,Nickel,Copper,"Palladium, Iridium, Gold",Unknown,,Y,Past Producer,"Chromite, Magnetite, Millerite, Pentlandite, Pyrite",,,,,,Volcanic Rock (Aphanitic)
Carnilya Hill,-31.02942,121.78252,OC,Australia,Western Australia,,M,Nickel,Copper,"PGE, Gold",Unknown,,Y,Past Producer,"Chalcopyrite, Chromite, Magnetite, Millerite, Pentlandite, Pyrite, Pyrrhotite",,,,,Peridotite,Volcanic Rock (Aphanitic)
Anomaly B,-31.49608,121.69919,OC,Australia,,,M,Nickel,Copper,"Palladium, Gold, Iridium",Unknown,,U,Prospect,"Chromite, Magnetite, Millerite, Pentlandite, Pyrite",,,,,,Volcanic Rock (Aphanitic)
Mt. Clifford,-28.49619,119.99926,OC,Australia,,,M,Nickel,"Copper, Chromium, Zinc","Palladium, Iridium, Gold",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,,,Volcanic Rock (Aphanitic)
N. E. Cooee,-31.39608,121.79918,OC,Australia,,,M,Nickel,"Chromium, Zinc, Copper","Palladium, Iridium, Gold",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrrhotite",,,,,,Volcanic Rock (Aphanitic)
Ravensthorpe,-33.57932,120.19921,OC,Australia,,,M,Nickel,Copper,"Palladium, Iridium, Gold",Unknown,,Y,Past Producer,"Chromite, Magnetite, Millerite, Pentlandite, Pyrite",,,,,,Volcanic Rock (Aphanitic)
Jan Shoot,-31.39608,121.89918,OC,Australia,Western Australia,,M,Nickel,"Copper, Chromium, Zinc","Palladium, Iridium, Gold",Unknown,,Y,Past Producer,"Pentlandite, Pyrrhotite",,,,,,Volcanic Rock (Aphanitic)
Koolyanobbing,-30.5961,119.39925,OC,Australia,,,M,Nickel,"Copper, Chromium, Zinc","Palladium, Iridium, Gold",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,,,Volcanic Rock (Aphanitic)
Bronzite Ridge,-32.29604,121.0992,OC,Australia,,,M,Nickel,"Chromium, Zinc, Copper","Palladium, Iridium, Gold",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,Mafic Association,,
Tramways,-31.49608,121.79918,OC,Australia,,,M,Nickel,Copper,"Palladium, Iridium, Gold",Unknown,,U,Prospect,Chalcopyrite,,,,,,
Scotia,-30.32945,121.4992,OC,Australia,,,M,Nickel,Copper,"Palladium, Iridium, Gold",Unknown,,Y,Past Producer,"Chromite, Magnetite, Millerite, Pentlandite, Pyrite",,,,,,Volcanic Rock (Aphanitic)
Mt. Venn,-27.82957,123.33251,OC,Australia,,,M,Nickel,Copper,"Palladium, Gold, Iridium",Unknown,,Y,Past Producer,"Chromite, Magnetite, Millerite, Pyrite, Pyrrhotite",,,,,,
Kunanalling,-30.66278,121.16588,OC,Australia,,,M,"Copper, Chromium, Zinc, Nickel","Palladium, Iridium, Gold",,Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,,,Volcanic Rock (Aphanitic)
Cave Hill,-30.66277,120.99922,OC,Australia,,,M,Nickel,"Copper, Chromium, Zinc","Palladium, Iridium, Gold",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,Oxidized Sediments,,Volcanic Rock (Aphanitic)
Bow River,-19.99678,139.99889,OC,Australia,,,M,Nickel,"Copper, Chromium, Zinc","Iridium, Gold, Palladium",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,Mafic Association,,
Mt. Scholl A,-20.9966,118.49933,OC,Australia,,,M,Nickel,"Copper, Chromium, Zinc","Palladium, Gold, Iridium",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,Mafic Association,,
Talga - Talga,-20.99661,119.99931,OC,Australia,,,M,Nickel,"Copper, Chromium, Zinc","Palladium, Iridium, Gold",Unknown,,U,Prospect,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrrhotite",,,,,,
Platina Development,-32.66294,147.49861,OC,Australia,New South Wales,,M,"Platinum, Palladium",,,Unknown,Placer,N,Prospect,,,,,,,
Broken Hill Prospect,-31.94622,141.49873,OC,Australia,New South Wales,,M,"Nickel, Copper","Platinum, Palladium",,Unknown,,N,Prospect,,,,,,,
Rudall River,-21.32992,118.26601,OC,Australia,,,M,"Nickel, Gold, PGE",,,Unknown,,N,Prospect,,,,,,Peridotite,
Western Mining,-28.32954,122.16587,OC,Australia,,,M,Nickel,,Platinum,Unknown,,S,Past Producer,,,,,,,
Nairne Pyrite Deposit,-33.99613,138.99876,OC,Australia,South Australia,,B,"Nickel, Palladium, Copper","Manganese, Graphite, Lead, Iron",,Unknown,,N,Occurrence,"Chalcopyrite, Galena, Graphite, Pyrite, Sphalerite, Tetrahedrite",,,,Tension Gash Veins Contain Massive Pyrrhotite And A Range Of Sulfosalts.,"Quartzite,Siltstone",
Wingellina-Daisy Bates Nickel,-26.06304,129.03239,OC,Australia,Western Australia,,M,"Nickel, Cobalt",,PGE,Unknown,,N,Occurrence,,,,,,,
Widgiemooltha Nickel Occurrence,-31.34191,121.58252,OC,Australia,Western Australia,,M,Nickel,,PGE,Unknown,,N,Occurrence,,,,,,,
Mt. Windarra - South Prospect Nickel,-28.49621,122.16587,OC,Australia,Western Australia,,M,Nickel,Copper,"Platinum, Palladium, Iridium, Chromium, Iron",Unknown,,S,Producer,"Chalcopyrite, Chromite, Millerite, Pentlandite, Pyrite, Pyrrhotite",,,,Basal Zone Of Ultramafics Near Contact With Iron Formation.,Greenstone,"Ultramafic Intrusive Rock,Komatiite (Ultramafite)"
Ringlock Nickel Property - Australia,-30.19613,121.24921,OC,Australia,Western Australia,,M,"PGE, Nickel",,,Unknown,,N,Occurrence,,,,,,,
Heron Wells Nickel-Copper Claim,-28.99617,121.33255,OC,Australia,Western Australia,,M,"Nickel, Copper",,PGE,Unknown,,N,Occurrence,,,,,,,
Mt. Eureka Nickel Prospect,-26.56297,121.53256,OC,Australia,Western Australia,,M,Nickel,,PGE,Unknown,,N,Occurrence,,,,,,,
Pykes Hill Nickel Deposit,-28.82952,121.83253,OC,Australia,Western Australia,,M,"PGE, Nickel",,,Unknown,,N,Occurrence,,,,,,,
Scotia Second Nickel Mine,-30.32945,121.4992,OC,Australia,Western Australia,,M,"Copper, Nickel",,PGE,Unknown,,S,Producer,,,,,,,
Coolgardie Mineralfield,-31.01276,121.1992,OC,Australia,Western Australia,,B,Nickel,"Gemstone, Cobalt, Copper, PGE, Platinum, Tungsten, Palladium",,Unknown,Stratiform,Y,Producer,Scheelite,,,,,,
Big Bell Mine,-27.31846,117.6521,OC,Australia,Western Australia,,M,Gold,Silver,,Unknown,,L,Producer,"Bornite, Chalcopyrite, Electrum, Gold, Marcasite, Molybdenite, Pyrite, Pyrrhotite, Sphalerite, Stibnite, Tetrahedrite","Andalusite, Biotite, Feldspar, Muscovite, Quartz",,"Big Bell Gold Deposit, Super Pit",,"Schist,Greenschist",Mafic Volcanic Rock
Pajingo Gold Deposits,-20.53013,146.44876,OC,Australia,Queensland,,M,Gold,Silver,,Unknown,,M,Producer,"Electrum, Gold",Hematite,,Scott,,Sandstone,
Nuggetty Gully Lead,-33.61292,148.31525,OC,Australia,New South Wales,,M,Gold,,,Unknown,Placer,S,Past Producer,Gold,,,Includes Goonigal Lead,,Clastic Sedimentary Rock,
Milkmans -Two Miles Leads,-33.87957,148.19858,OC,Australia,New South Wales,,M,Gold,Tin,,Unknown,,S,Past Producer,Gold,,,,,Clastic Sedimentary Rock,
Currajong Lead,-33.09626,148.18192,OC,Australia,New South Wales,,M,Gold,,,Unknown,Placer,S,Past Producer,Gold,,,,,Gravel,
Crookwell,-35.49622,149.33186,OC,Australia,New South Wales,,B,"Gold, Diamond",,,Unknown,Placer,S,Past Producer,Gold,,,,,Gravel,
Bingara Diamond Field,-29.74639,150.41527,OC,Australia,New South Wales,,B,Gold,Diamond,,Unknown,Placer,S,Past Producer,Gold,,,,,Gravel,
Billy's Lookout Alluvial Workings,-33.69624,147.34859,OC,Australia,New South Wales,,M,Gold,,,Unknown,Placer,S,Past Producer,Gold,,,,,Clastic Sedimentary Rock,
Flying Fox,-32.29603,119.63256,OC,Australia,Western Australia,,M,"Copper, Nickel",,,Unknown,,U,Occurrence,,,,,,Dunite,
Mount Hope Mine,-32.91291,145.83196,OC,Australia,New South Wales,,M,"Copper, Lead",Zinc,,Unknown,,Y,Producer,"Chalcopyrite, Galena, Magnetite, Pyrite, Pyrrhotite, Sphalerite","Chlorite, Quartz, Sericite",,Mt. Hope Mine,Structure,Volcanic Rock (Aphanitic),
Goonumbia,-32.91294,148.04859,OC,Australia,New South Wales,,M,"Gold, Copper",,,Unknown,,N,Occurrence,"Bornite, Chalcocite, Chalcopyrite, Digenite, Galena","Anhydrite, Quartz, Sericite",,"Deposit Includes Endeavour 22, 26n, and 27, Parkes",,Monzonite,Volcanic Rock (Aphanitic)
The Granites,-20.58003,130.3324,OC,Australia,Northern Territory*,,M,Gold,,,Unknown,,Y,Producer,Gold,,,,,Iron Formation,
Burnkura Deposit,-27.07959,118.4993,OC,Australia,Western Australia,,M,Gold,,,Unknown,,U,Occurrence,Gold,,,,,,
Edwards Find,-31.21274,119.31592,OC,Australia,Western Australia,,M,Gold,,,Unknown,,Y,Producer,Gold,,,,Structure,Greenstone,"Gneiss,Granite"
Bounty,-31.99604,119.99924,OC,Australia,Western Australia,,M,Gold,,,Unknown,,S,Producer,Gold,,,,,,
Cosmic Boy,-32.54603,119.73256,OC,Australia,Western Australia,,M,Nickel,,,Unknown,,U,Occurrence,,,,,,Dunite,
Griffins Find,-33.24599,118.0826,OC,Australia,Western Australia,,M,Gold,,,Unknown,,S,Producer,Gold,,,Griffins,,Mafic Intrusive Rock,
New Morning,-32.4127,119.63256,OC,Australia,Western Australia,,M,"Copper, Nickel",,,Unknown,,U,Occurrence,,,,,,Dunite,Metasedimentary Rock
Elliots,-29.26309,151.59859,OC,Australia,New South Wales,,M,"Tin, Tungsten",,,Unknown,Vein,U,Occurrence,"Cassiterite, Wolframite",Quartz,,Elliot's,,Granite,
McKinnons,-29.29642,151.63192,OC,Australia,New South Wales,,M,"Lead, Zinc",Copper,,Unknown,Vein,U,Occurrence,,,,McKinnon's,,Granite,
Wallaroo,-29.32975,151.73192,OC,Australia,New South Wales,,M,Tin,,,Unknown,Vein,U,Occurrence,Cassiterite,"Chlorite, Quartz, Sericite",,,,Granite,
Dutchmans,-29.31309,151.69859,OC,Australia,New South Wales,,M,Tin,,,Unknown,,U,Occurrence,Cassiterite,"Chlorite, Quartz, Sericite",,Dutchman's,,Granite,
Karonie,-30.96277,122.5325,OC,Australia,Western Australia,,M,Gold,,,Unknown,,S,Producer,Gold,,,,,,
Bauxite-Australia,-14.7471,125.74919,OC,Australia,,,M,Aluminum,,,Unknown,,N,Prospect,Bauxite,,,,,Basalt,
Bauxite - Australia,-25.9964,134.99894,OC,Australia,,,M,Aluminum,,,Unknown,,Y,Producer,Bauxite,,,,,,
Bauxite-Australia,-12.66399,141.86556,OC,Australia,,,M,Aluminum,,,Unknown,,N,Prospect,Bauxite,,,,,"Silt,Sand and Gravel",
Bauxite - Australia,-38.41281,146.1652,OC,Australia,,,M,Aluminum,,,Unknown,,N,Occurrence,Bauxite,,,,,,
Agnew Mine,-27.8129,120.69924,OC,Australia,Western Australia,,M,Nickel,"Copper, Cobalt",PGE,Unknown,,M,Producer,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrite, Pyrrhotite",,,,,Dunite,Ultramafic Intrusive Rock
Mt. Venn-Nickel Prospect-Australia,-28.07956,123.49917,OC,Australia,Western Australia,,M,"Copper, Nickel",,,Unknown,,N,Occurrence,,,,,,,
Widgiemooltha Nickel Occurrence-Australia,-31.34191,121.58252,OC,Australia,Western Australia,,M,Nickel,,,Unknown,,U,Occurrence,,,,,,,
Wingellina-Daisy Bates Nickel Field-Australia,-26.06304,129.03239,OC,Australia,Western Australia,,M,Nickel,Cobalt,,Unknown,,N,Occurrence,,,,,,,
Digger Rocks Nickel Deposits,-32.5627,119.91589,OC,Australia,Western Australia,,M,Nickel,,,Unknown,,N,Occurrence,,,,,,,
Ruth Well Nickel Prospect-Australia,-20.69663,116.99938,OC,Australia,Western Australia,,M,"Nickel, Platinum, Palladium, Gold",,,Unknown,,N,Occurrence,,,,,,,
Heron Wells Nickel-Copper Claim-Australia,-28.99617,121.33255,OC,Australia,Western Australia,,M,"Nickel, Copper",,,Unknown,,N,Occurrence,,,,,,,
Pykes Hill Nickel Deposit-Australia,-28.82952,121.83253,OC,Australia,Western Australia,,M,Nickel,,,Unknown,,N,Occurrence,,,,,,,
Mt. Eureka Nickel Prospect-Australia,-26.56297,121.53256,OC,Australia,Western Australia,,M,Nickel,,,Unknown,,N,Occurrence,,,,,,,
Pyrites Hill Iron-Cobalt Prospect-Australia,-32.16647,147.01159,OC,Australia,New South Wales,,M,"Cobalt, Iron",,,Unknown,,N,Occurrence,,,,,,,
New Broken Hill Zn - Pb - Ag Mine,-31.99621,141.44873,OC,Australia,New South Wales,,M,"Zinc, Lead, Silver",,,Unknown,,L,Producer,"Galena, Sphalerite","Apatite, Calcite, Chalcopyrite, Feldspar, Fluorite, Garnet, Hedenbergite, Pyrrhotite, Quartz, Rhodonite",Underground,,Drag Fold Hinges Contain Most Of The Ore,"Gneiss,Amphibolite,Iron Formation",
Mons Cupri Texasgulf,-20.9966,117.99936,OC,Australia,Western Australia,,M,"Lead, Copper, Zinc, Silver",,,Unknown,,N,Occurrence,,,,,,,
Blackwood Pb Mine,-37.47946,144.31525,OC,Australia,Victoria,,M,Lead,,,Unknown,,M,Producer,,,,,,,
Broken Hill South,-31.99621,141.44873,OC,Australia,New South Wales,,M,"Silver, Lead, Zinc, Sulfur-Pyrite",,,Unknown,,M,Producer,"Galena, Silver, Sphalerite, Tetrahedrite","Calcite, Feldspar, Fluorite, Garnet, Hedenbergite, Quartz, Rhodonite",Surface/Underground,,"Ore Is Found In Folds, Parallel To Bedding","Gneiss,Amphibolite,Iron Formation",
Cobar,-31.52961,145.84865,OC,Australia,New South Wales,,M,"Copper, Zinc","Lead, Silver",,Unknown,,L,Producer,"Chalcopyrite, Galena, Sphalerite","Biotite, Calcite, Chert, Chlorite, Dolomite, Muscovite, Pyrite, Pyrrhotite, Quartz, Siderite, Talc",Underground,"Csa, Chesney Mine",Shearing And Crenulation Folding,"Slate,Siltstone",
Elura,-31.32962,145.83199,OC,Australia,New South Wales,,M,"Zinc, Lead, Silver",,,Unknown,,Y,Producer,,,,,,,
North Broken Hill Mine,-31.99621,141.44873,OC,Australia,New South Wales,,M,"Zinc, Silver, Lead",Gold,,Unknown,,L,Producer,"Galena, Gold, Pyrargyrite, Silver, Sphalerite, Tetrahedrite","Calcite, Feldspar, Fluorite, Garnet, Hedenbergite, Quartz, Rhodonite",Underground,,"Ore Is In Folds, Parallel To Bedding","Gneiss,Iron Formation",
Woodlawn,-33.0796,149.16524,OC,Australia,New South Wales,,M,"Silver, Zinc, Copper, Lead",Gold,,Unknown,,Y,Producer,"Covellite, Galena, Silver, Sphalerite, Tetrahedrite",Pyrite,,,,"Schist,Shale,Rhyolite",Rhyolite
Zinc Corp. Broken Hill Pb - Ag - Zn Mine,-31.99621,141.44873,OC,Australia,New South Wales,,M,"Zinc, Lead",Silver,,Unknown,,L,Producer,"Galena, Sphalerite","Apatite, Calcite, Chalcopyrite, Feldspar, Fluorite, Garnet, Hedenbergite, Pyrrhotite, Quartz, Rhodonite",Underground,,Drag Fold Hinges Contain Most Of The Ore,"Gneiss,Iron Formation",
Mc Arthur Pb - Zn - Ag Deposit,-16.49701,136.0823,OC,Australia,Northern Territory*,,M,"Lead, Zinc, Silver",,,Unknown,,N,Prospect,"Galena, Sphalerite","Chalcocite, Chlorite, Covellite, Illite, Kaolin, Marcasite, Pyrite, Quartz",,H.Y.C. Deposit,Sedimentary Deposit,"Shale,Tuff",Tuff
Hilton Zn - Pb - Ag Prospect,-20.54675,139.28222,OC,Australia,Queensland,,M,"Silver, Lead, Zinc",,,Unknown,,Y,Producer,"Galena, Sphalerite",Pyrite,Underground,,Sedimentary Features,Shale,
Mount Isa Mine,-20.69674,139.29889,OC,Australia,Queensland,,M,"Copper, Zinc, Lead, Silver",,Cobalt,Unknown,,L,Producer,"Argentite, Chrysocolla, Covellite, Galena, Pyromorphite, Silver, Smithsonite, Sphalerite, Tetrahedrite","Ankerite, Calcite, Dolomite, Pyrite, Pyrrhotite, Quartz, Siderite",,,Sedimentary Features,"Shale,Dolomite,Tuff",
"Rosebery, Read, Hercules, Mt. Farrell",-41.81278,145.49847,OC,Australia,Tasmania,,B,"Zinc, Copper, Lead, Sulfur",,,Unknown,,M,Producer,"Galena, Gold, Sphalerite","Barite, Chlorite, Pyrite, Pyrrhotite, Quartz, Sericite",,,Bedding Control,Shale,Tuff
Sally Mallay Prospect,-16.69502,127.99915,OC,Australia,Western Australia,,M,Nickel,,,Unknown,,N,Occurrence,,,,,,,
"Mount Martin, Australia",-25.46243,122.17743,OC,Australia,Western Australia,,M,Nickel,,,Unknown,,N,Occurrence,,,,,,,
"Ora Banda, Australia",-30.44611,121.06588,OC,Australia,Western Australia,,M,Nickel,Cobalt,Iron,Unknown,,N,Occurrence,,,,,,"Clay, Mud",Dunite
